state,spending_per_pupil,pupils_per_teacher,graduation_rate_percent,dropout_rate_percent,daycare_rate_percent
Baden-Württemberg,9500,13.2,43.5,5.8,28.5
Bayern,10200,12.9,38.2,5.1,29.2
Berlin,11800,14.5,51.5,9.8,48.0
Brandenburg,9100,13.8,47.2,8.2,53.5
Bremen,10500,14.8,45.0,10.2,30.0
Hamburg,12200,12.5,55.2,6.5,45.5
Hessen,9300,13.6,46.0,6.2,32.0
Mecklenburg-Vorpommern,8900,14.2,42.5,11.0,56.5
Niedersachsen,8800,13.5,44.1,6.8,31.2
Nordrhein-Westfalen,8500,15.2,48.5,7.1,27.8
Rheinland-Pfalz,9100,13.0,45.3,6.0,30.5
Saarland,8900,13.4,47.0,7.5,31.0
Sachsen,9800,12.8,42.1,8.5,52.0
Sachsen-Anhalt,9400,14.0,41.8,9.9,55.0
Schleswig-Holstein,8600,14.1,46.5,7.3,33.5
Thüringen,10500,12.1,43.8,7.8,54.2
