source,target,value,category
Steuereinnahmen,Arbeit und Soziales (BMAS),135.2,Einnahmen-Verwendung
Steuereinnahmen,Verteidigung (BMVg),42.0,Einnahmen-Verwendung
Steuereinnahmen,Verkehr & Digitale Infrastruktur (BMDV),35.5,Einnahmen-Verwendung
Steuereinnahmen,Finanzen (BMF) & Bundesschuld,32.4,Einnahmen-Verwendung
Steuereinnahmen,Bildung und Forschung (BMBF),18.0,Einnahmen-Verwendung
Steuereinnahmen,Gesundheit (BMG),12.0,Einnahmen-Verwendung
Steuereinnahmen,Familie, Senioren, Frauen & Jugend (BMFSFJ),11.5,Einnahmen-Verwendung
Steuereinnahmen,Inneres und Heimat (BMI),10.5,Einnahmen-Verwendung
Steuereinnahmen,Wirtschaft und Klimaschutz (BMWK),8.0,Einnahmen-Verwendung
Steuereinnahmen,Entwicklungszusammenarbeit (BMZ),7.5,Einnahmen-Verwendung
Steuereinnahmen,Auswärtiges Amt (AA),5.5,Einnahmen-Verwendung
Steuereinnahmen,Ernährung und Landwirtschaft (BMEL),5.0,Einnahmen-Verwendung
Steuereinnahmen,Wohnen, Stadtentwicklung & Bau (BMWSB),4.5,Einnahmen-Verwendung
Steuereinnahmen,Sonstige Ausgaben,59.24,Einnahmen-Verwendung
Kredite & Schulden,Arbeit und Soziales (BMAS),35.0,Einnahmen-Verwendung
Kredite & Schulden,Verteidigung (BMVg),10.0,Einnahmen-Verwendung
Kredite & Schulden,Verkehr & Digitale Infrastruktur (BMDV),10.0,Einnahmen-Verwendung
Kredite & Schulden,Sonstige Ausgaben,15.71,Einnahmen-Verwendung
Sonstige Einnahmen,Arbeit und Soziales (BMAS),12.0,Einnahmen-Verwendung
Sonstige Einnahmen,Gesundheit (BMG),4.0,Einnahmen-Verwendung
Sonstige Einnahmen,Sonstige Ausgaben,22.5,Einnahmen-Verwendung
