municipality,age_group,male_percent,female_percent
Ummendorf,0-9,5.2,5.0
Ummendorf,10-19,5.5,5.1
Ummendorf,20-29,5.8,5.4
Ummendorf,30-39,6.2,6.0
Ummendorf,40-49,6.0,5.8
Ummendorf,50-59,8.1,7.9
Ummendorf,60-69,6.8,6.5
Ummendorf,70-79,4.2,4.5
Ummendorf,80+,2.2,2.8
Biberach an der Riß,0-9,4.8,4.6
Biberach an der Riß,10-19,4.9,4.7
Biberach an der Riß,20-29,6.2,5.9
Biberach an der Riß,30-39,6.8,6.4
Biberach an der Riß,40-49,5.9,5.7
Biberach an der Riß,50-59,8.2,8.0
Biberach an der Riß,60-69,6.5,6.3
Biberach an der Riß,70-79,4.5,4.9
Biberach an der Riß,80+,2.9,3.8
Laupheim,0-9,5.1,4.9
Laupheim,10-19,5.3,5.0
Laupheim,20-29,6.0,5.6
Laupheim,30-39,6.5,6.2
Laupheim,40-49,6.1,5.9
Laupheim,50-59,8.0,7.8
Laupheim,60-69,6.6,6.4
Laupheim,70-79,4.3,4.7
Laupheim,80+,2.5,3.1
Schemmerhofen,0-9,5.6,5.3
Schemmerhofen,10-19,5.8,5.5
Schemmerhofen,20-29,5.9,5.4
Schemmerhofen,30-39,6.4,6.2
Schemmerhofen,40-49,6.3,6.0
Schemmerhofen,50-59,7.9,7.5
Schemmerhofen,60-69,6.2,5.9
Schemmerhofen,70-79,3.8,4.1
Schemmerhofen,80+,1.8,2.3
Baden-Württemberg (Durchschnitt),0-9,4.7,4.5
Baden-Württemberg (Durchschnitt),10-19,4.8,4.6
Baden-Württemberg (Durchschnitt),20-29,6.0,5.7
Baden-Württemberg (Durchschnitt),30-39,6.4,6.1
Baden-Württemberg (Durchschnitt),40-49,5.9,5.7
Baden-Württemberg (Durchschnitt),50-59,8.4,8.2
Baden-Württemberg (Durchschnitt),60-69,6.7,6.5
Baden-Württemberg (Durchschnitt),70-79,4.6,5.0
Baden-Württemberg (Durchschnitt),80+,3.2,4.0
