hour,type,solar,wind,conventional,consumption
0,sommer,0.0,9.5,23.5,33.0
1,sommer,0.0,9.2,21.8,31.0
2,sommer,0.0,9.0,21.0,30.0
3,sommer,0.0,8.8,21.2,30.0
4,sommer,0.0,9.1,21.9,31.0
5,sommer,0.5,9.3,23.2,33.0
6,sommer,2.5,9.5,25.0,37.0
7,sommer,6.0,9.8,26.2,42.0
8,sommer,12.5,10.0,23.5,46.0
9,sommer,18.0,10.2,20.8,49.0
10,sommer,24.0,10.5,16.5,51.0
11,sommer,28.5,10.4,14.1,53.0
12,sommer,32.0,10.2,12.8,55.0
13,sommer,33.5,10.0,11.5,55.0
14,sommer,31.0,9.8,12.2,53.0
15,sommer,27.5,9.5,14.0,51.0
16,sommer,22.0,9.3,17.7,49.0
17,sommer,15.5,9.2,22.3,47.0
18,sommer,9.0,9.4,26.6,45.0
19,sommer,4.2,9.6,29.2,43.0
20,sommer,1.0,9.8,30.2,41.0
21,sommer,0.0,9.9,29.1,39.0
22,sommer,0.0,9.7,27.3,37.0
23,sommer,0.0,9.6,25.4,35.0
0,winter,0.0,28.5,31.5,60.0
1,winter,0.0,28.0,30.0,58.0
2,winter,0.0,27.5,29.5,57.0
3,winter,0.0,27.8,29.2,57.0
4,winter,0.0,28.2,29.8,58.0
5,winter,0.0,29.0,31.0,60.0
6,winter,0.0,30.2,33.8,64.0
7,winter,0.0,31.5,36.5,68.0
8,winter,0.2,32.8,39.0,72.0
9,winter,0.8,33.2,39.0,73.0
10,winter,1.5,33.5,39.0,74.0
11,winter,2.2,33.8,38.0,74.0
12,winter,2.5,34.0,38.5,75.0
13,winter,2.4,33.6,39.0,75.0
14,winter,2.0,33.1,38.9,74.0
15,winter,1.2,32.5,39.3,73.0
16,winter,0.4,32.0,40.6,73.0
17,winter,0.0,31.8,42.2,74.0
18,winter,0.0,31.2,43.8,75.0
19,winter,0.0,30.5,43.5,74.0
20,winter,0.0,29.8,42.2,72.0
21,winter,0.0,29.5,39.5,69.0
22,winter,0.0,29.1,36.9,66.0
23,winter,0.0,28.8,34.2,63.0
