month,wind_onshore,wind_offshore,solar,biomass,hydro,coal_brown,coal_hard,gas,other
Januar,14.2,2.8,1.2,3.6,1.8,7.2,3.8,5.2,1.2
Februar,13.5,2.5,2.1,3.4,1.7,6.8,3.4,4.8,1.1
März,11.8,2.2,4.8,3.6,1.8,6.0,2.8,4.5,1.2
April,9.5,1.8,6.5,3.5,1.6,5.2,2.2,4.0,1.0
Mai,8.2,1.5,8.8,3.6,1.7,4.5,1.8,3.5,1.1
Juni,6.5,1.2,9.2,3.5,1.6,4.0,1.5,3.2,1.0
Juli,7.0,1.4,9.5,3.6,1.7,4.2,1.6,3.4,1.1
August,7.5,1.6,8.2,3.6,1.6,4.5,1.7,3.6,1.1
September,8.8,1.8,5.5,3.5,1.5,5.0,2.1,4.1,1.0
Oktober,10.2,2.2,3.2,3.6,1.6,6.2,2.8,4.8,1.2
November,12.5,2.6,1.5,3.5,1.7,7.0,3.6,5.4,1.1
Dezember,15.3,2.9,0.8,3.6,1.8,7.8,4.1,5.8,1.2
