year,zone,value_sqm
2014,Mischgebiet Kernort,140
2016,Mischgebiet Kernort,160
2018,Mischgebiet Kernort,190
2020,Mischgebiet Kernort,220
2022,Mischgebiet Kernort,260
2024,Mischgebiet Kernort,290
2014,Neubaugebiet Gassäcker,180
2016,Neubaugebiet Gassäcker,210
2018,Neubaugebiet Gassäcker,250
2020,Neubaugebiet Gassäcker,290
2022,Neubaugebiet Gassäcker,340
2024,Neubaugebiet Gassäcker,390
2014,Fischbach Wohngebiet,110
2016,Fischbach Wohngebiet,130
2018,Fischbach Wohngebiet,150
2020,Fischbach Wohngebiet,180
2022,Fischbach Wohngebiet,210
2024,Fischbach Wohngebiet,240
2014,Gewerbegebiet Umlach,70
2016,Gewerbegebiet Umlach,80
2018,Gewerbegebiet Umlach,95
2020,Gewerbegebiet Umlach,110
2022,Gewerbegebiet Umlach,125
2024,Gewerbegebiet Umlach,140
